City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Hatillo,PR,18.4863,-66.8254,83.01,94,31,4.0,scattered clouds
253,Merauke,ID,-8.4667,140.3333,80.17,84,100,7.31,overcast clouds
254,Gat,IL,31.61,34.7642,76.78,28,38,9.62,scattered clouds
255,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.99,93,90,13.42,shower snow
256,Portland,US,45.5234,-122.6762,60.6,92,90,1.01,mist
257,Iwanai,JP,42.9744,140.5089,40.42,92,100,2.37,overcast clouds
258,Bayangol,RU,50.6977,103.4656,0.12,94,59,2.75,broken clouds
259,Nanortalik,GL,60.1432,-45.2371,33.58,99,100,17.29,moderate rain
260,Hami,CN,42.8,93.45,22.98,59,4,1.28,clear sky
261,Maraba,BR,-5.3686,-49.1178,82.58,89,20,2.3,few clouds
262,Neiafu,TO,-18.65,-173.9833,81.28,61,40,10.36,scattered clouds
263,Buraydah,SA,26.326,43.975,57.65,25,0,3.91,clear sky
264,Umm Lajj,SA,25.0213,37.2685,84.07,33,0,8.14,clear sky
265,Enterprise,US,36.0252,-115.2419,74.86,18,1,1.99,clear sky
266,Kupang,ID,-10.1667,123.5833,77.58,100,75,2.3,broken clouds
267,Igarka,RU,67.4667,86.5833,-2.04,97,100,11.81,light snow
268,Manta,EC,-0.95,-80.7333,80.38,69,75,14.97,broken clouds
269,Yunyang,CN,33.4474,112.7142,39.67,40,0,3.36,clear sky
270,Calama,CL,-22.4667,-68.9333,73.89,14,0,25.32,clear sky
271,Marion,US,39.7684,-86.1555,44.98,37,75,11.5,broken clouds
272,Manglaur,IN,29.8,77.8667,54.82,54,36,4.05,scattered clouds
273,Talnakh,RU,69.4865,88.3972,-11.79,96,99,5.91,overcast clouds
274,Georgetown,MY,5.4112,100.3354,75.15,95,40,1.99,light rain
275,Isangel,VU,-19.55,169.2667,80.71,94,75,0.0,broken clouds
276,Inhambane,MZ,-23.865,35.3833,72.79,77,0,10.83,clear sky
277,Mesyagutovo,RU,55.5303,58.2528,30.16,94,100,4.23,overcast clouds
278,Oskarshamn,SE,57.2645,16.4484,24.8,86,37,7.67,scattered clouds
279,Noumea,NC,-22.2763,166.4572,82.38,99,25,10.42,scattered clouds
280,Port-Gentil,GA,-0.7193,8.7815,76.96,94,20,3.44,few clouds
281,Abbeville,FR,50.1,1.8333,37.69,79,50,10.13,scattered clouds
282,Isiro,CD,2.7739,27.616,66.07,100,100,0.49,moderate rain
283,Pangkalanbuun,ID,-2.6833,111.6167,72.0,98,62,2.62,broken clouds
